"hhidold","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3","hhid"
"H2820904","3",1,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,"f5302683689d4352b65264e175836ca6"
"H0720201","9",1,2,2,1,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,2,2,4,"f8b64aabc1994c2da7b35c763ac02d0c"
"H3460501","9",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,1,2,1,2,"fc417e42804848a0a93e0e54f176a90f"
"H1650506","3",1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,"004e93d7552248ed95d8bc3ec21bdbdb"
"H1810303","6",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"0071da69d26d4b29a8f9d29d458e68cf"
"H0590907","3",1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,0,"00eb1114df14443a9effe1db5343435d"
"H2090701","10",2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,4,"01fc2a6821064f528ca01e20dbea8db2"
"H3770703","4",1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,,2,1,2,2,4,"021babeee5f646108cbe9bb3b2a4c485"
"H3430401","7",1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,"024a80a27283471e857285cf751564ae"
"H0620801","10",1,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,"02617e359bfc48cbaa6ff204cb915790"
"H3860601","6",1,2,1,1,2,2,2,2,2,2,1,2,2,2,1,2,2,2,1,2,2,4,"03c42091117d479097bf8be7a9dfebb1"
"H2590703","3",1,2,2,2,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,3,"04079e5069be47278c3ec71eb77a8997"
"H2231002","5",,,,1,1,,,,,,1,,,,,,,,,,,3,"044c92119a6e44b6bd74f41b5131f7fb"
"H1821002","7",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7,"053050b9f02d468dabfb5515b9f97be6"
"H3680701","13",1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,1,3,"0583ffbf78c441f7828b4e53acdd71f1"
