"hhid","h9q01","h9q02","h9q24a","h9q24b","h9q26","h9q25","h9q27","h9q28","h9q29","h9q30_1","h9q30a","h9q30b","h9q30c","h9q31","h9q32a","h9q32b","h9q32c","h9q33","h9q34","h9q35","h9q36","h9q37","h9q38","h9q03","h9q04","h9q05","h9q06","h9q07","h9q08","h9q09a","h9q09b","h9q10","h9q11","h9q12","h9q13","h9q14","h9q15","h9q15_1","h9q15_2","h9q15_3","s915_4","h9q15_5","h9q16","h9q17","h9q22","h9q22a","h9q22b","h9q23","h9_respondent","h9q30d"
"8a28f193ab584a64b6c8412af076be94",10,10,3,0.75,1,2011,3,1,2011,1,"1",,,1,4,,,2,2,,1,,10000000,6,10,12,13,11,,,,,10,1,1,"15000",,".",".",".",,200,1,2,21,2,,1,"1",
"8a487ec2e2d0462684843b3a800f2a52",10,10,1,80,2,9998,1,3,,,".",".",".",1,2,,,6,2,,1,,2000000,2,10,16,14,15,,10,2,0.3,5,2,,,10,"4","6","9",1,60,1,1,23,2,,1,"10",
"8a627d794b3240638fa31e67d85fa282",10,10,4,7000,2,1985,4,3,,,".",".",".",2,,,,1,2,,1,,3500000,4,10,12,14,15,,40,20,1,5,2,,,10,"7","9","10",2,110,1,2,22,2,,2,"2",
"8a6daeb4c2844b3890bdca771a166247",16,10,4,30,2,1983,1,3,,,".",".",".",2,,,,1,2,,1,,350000,2,15,14,14,13,,,,,5,2,,,,".",".",".",,80,1,4,22,2,,2,"4",
"8a763bf06c1242969e5f58ff8291c4b6",10,10,4,1500,2,2009,2,3,,,".",".",".",2,,,,4,2,,1,,8000000,1,10,16,14,16,96,30,3,0.2,2,2,,,10,"2",,,1,20,2,2,22,1,2,1,"2",
"8a862a0c291b4dafbf287b83572eab3c",10,10,4,2700,2,1956,2,3,,,".",".",".",1,1,,,4,2,,1,,4000000,2,10,12,13,17,1,60,1,2,4,1,1,"42000",12,".",".",".",2,60,2,2,22,1,1,1,"4",
"8a87e2bb4d5545e6ba52489555900b46",10,10,3,0.1,2,1970,2,3,,,".",".",".",2,,,,6,1,2,5,2,0,3,15,16,14,15,,60,5,0.5,7,2,,,10,"3","5","8",1,40,2,4,23,1,1,1,"1",
"8a971f5ac0c94733af2d4ffb1cf3c82b",10,10,3,2,2,1992,2,3,,,".",".",".",2,,,,1,2,,1,,15000000,3,10,12,14,16,1,30,5,0.2,5,2,,,10,"2","4","5",1,40,2,2,22,2,,1,"2",
"8a9b2b0867d74803a30fd760ae22db80",10,10,4,720,,,,,,,,,,,,,,,,,,,,3,10,16,96,15,,15,5,0.5,5,2,,,10,"6","7","11",1,100,1,5,23,2,,3,"2",
"8aae3e00032141138985f33a4ee4ac5a",10,10,4,3600,2,1980,1,3,,,".",".",".",2,,,,2,2,,1,,10000000,5,10,14,14,14,2,120,60,2,20,1,2,"1000",10,"2",,,1,80,1,4,23,2,,3,"2",
"8aaf398f6af041cdbc4958e2577d14b1",15,15,,,,,,,,,".",".",".",,,,,,,,,,,1,10,12,13,12,6,5,5,0.1,3,1,1,"200",10,"4",,,1,80,2,2,22,1,9,1,"4",
"8ababd67ddfe4725860b2ae95661a737",15,16,,,,,,,,,,,,,,,,,,,,,,1,10,12,13,12,6,5,2,0,1,1,1,"6000",10,"1",,,1,20,8,2,21,1,8,1,"1",
"8ad2c67a787e429bba2cf48ba9da1fdb",16,10,,,,,,,,,".",".",".",,,,,,,,,,,2,15,16,14,14,6,30,15,3.2,100,2,,,10,"6","7","8",2,10,2,2,22,2,,1,"1",
"8adb07475852478babb6817ae30bcfff",10,10,4,5000,1,1970,3,1,1970,2,,,,2,,,,2,2,,1,,300000000,7,10,11,13,15,,5,10,0.1,20,2,,,10,"7","9","28",1,150,1,1,22,1,8,2,"3",
