"PID","t31","t32","t33","t34","t35","t36","hhid"
4,2,,1,1,2,,"9c46a867c52748f19dd83e517d003c53"
10,2,,2,,,,"9d32794676c248ddaaa4c3fc8a35520b"
8,2,,2,,,,"9d4bb69584544bc2a758cac87fbb24da"
4,1,3,2,,,,"9dab23b69a8f448c8d4054876d154504"
7,2,,2,,,,"9df7bb9d8fd9495ca00fefc9ec47885e"
7,2,,1,2,2,,"9e3b3a9be40b4ce2af57aabcfb6929ec"
4,1,2,1,2,2,,"9e9aef5a8bf34e899b1eeee519563de3"
6,2,,2,,,,"9eb4f05d011b4600865313be18e7c426"
7,2,,2,,,,"a089138af4be4328afc442187d72ac8f"
4,2,,1,1,2,,"a0c2560f857044ae8a6f7aee6f0f474b"
8,2,,1,2,2,,"a10720b216e34c9496ca87f796d1af44"
4,2,,2,,,,"a10a5b3284014fe6b24cfa7243f6c29e"
6,2,,2,,,,"a139406d51364a7e9638f366529bca5e"
8,2,,2,,,,"a17352a477084c70957fdb7f08f9ae2d"
7,2,,1,1,2,,"a18f0339114f4fb689365b3a934b39e9"
3,2,,2,,,,"a1eb4a42ea2a466a9c8e07faa13b28c3"
6,2,,1,2,2,,"a28becda4a7d40f1a00b12c46e5f8c29"
11,2,,1,2,2,,"a31f26b79d7942b4bd1c4ce6641e5448"
7,2,,2,,,,"a3c1ad54b5134659a57d2f4a16a9a4a3"
11,2,,1,2,2,,"a42b72ab96e74a25aed753e4423bf1dd"
