"hhid","PID","pid_unps","t0_hhid","h2q3","h2q4","h2q5","h2q6","h2q7","h2q8","h2q9a","h2q9b","h2q9c","h2q10"
"01474a4d9efd4b8190c37f5fba89a005",6,"P34707-006","H3470701",1,5,12,,1,64,98,98,1954,5
"01474a4d9efd4b8190c37f5fba89a005",7,"P34707-007","H3470701",2,7,12,,1,8,30,9,2009,
"01474a4d9efd4b8190c37f5fba89a005",8,"P34707-008","H3470701",2,3,4,15,3,9,9,8,2009,
"01474a4d9efd4b8190c37f5fba89a005",9,"P34707-009","H3470701",1,7,12,,1,5,10,6,2013,
"01474a4d9efd4b8190c37f5fba89a005",10,"P34707-010","H3470701",1,3,12,,1,4,8,10,2013,
"01474a4d9efd4b8190c37f5fba89a005",11,"P34707-011","H3470701",2,6,12,,1,38,98,98,1980,3
"01474a4d9efd4b8190c37f5fba89a005",12,"P34707-012","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",13,"P34707-013","H3470701",2,6,12,,1,30,98,8,1988,5
"01474a4d9efd4b8190c37f5fba89a005",14,"P34707-014","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",15,"P34707-015","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",16,"P34707-016","H3470701",1,7,12,,1,16,98,98,2002,5
"01474a4d9efd4b8190c37f5fba89a005",17,"P34707-017","H3470701",1,7,12,,1,8,98,98,2010,
"01474a4d9efd4b8190c37f5fba89a005",18,"P34707-018","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",19,"P34707-019","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",20,"P34707-020","H3470701",1,7,12,,1,18,98,10,1999,5
"01474a4d9efd4b8190c37f5fba89a005",21,"P34707-021","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",22,"P34707-022","H3470701",2,4,12,,1,7,9,8,2011,
"01474a4d9efd4b8190c37f5fba89a005",23,"P34707-023","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",24,"P34707-024","H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",25,,"H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",28,,"H3470701",,,,,,,,,,
"01474a4d9efd4b8190c37f5fba89a005",29,,"H3470701",1,3,12,,1,1,17,11,2016,
"01474a4d9efd4b8190c37f5fba89a005",30,,"H3470701",2,4,12,,1,3,25,3,2015,
"01474a4d9efd4b8190c37f5fba89a005",31,,"H3470701",1,7,12,,1,1,13,10,2016,
"01483c3751964ad2842b6e4a8b6edcdd",1,"P27801-001","H2780101",1,1,12,,1,44,98,98,1974,1
"01483c3751964ad2842b6e4a8b6edcdd",2,"P27801-002","H2780101",2,2,12,,1,42,28,11,1975,1
"01483c3751964ad2842b6e4a8b6edcdd",3,"P27801-003","H2780101",,,,,,,,,,
"01483c3751964ad2842b6e4a8b6edcdd",4,"P27801-004","H2780101",2,3,12,,1,15,28,10,2002,5
"01483c3751964ad2842b6e4a8b6edcdd",5,"P27801-005","H2780101",1,3,12,,1,9,13,7,2008,
"01483c3751964ad2842b6e4a8b6edcdd",6,"P27801-006","H2780101",1,3,12,,1,13,98,98,2005,5
"01483c3751964ad2842b6e4a8b6edcdd",7,"P27801-008","H2780101",1,3,12,,1,3,8,7,2014,
"01483c3751964ad2842b6e4a8b6edcdd",8,,"H2780101",1,3,12,,1,1,8,7,2016,
"014de44f6ef44053a6742d1db80fe516",1,"P13009-001","H1300901",1,1,12,,1,50,98,98,1968,1
"014de44f6ef44053a6742d1db80fe516",2,"P13009-002","H1300901",2,2,12,,1,44,98,10,1973,1
"014de44f6ef44053a6742d1db80fe516",3,"P13009-004","H1300901",2,3,12,,1,20,98,1,1998,5
"014de44f6ef44053a6742d1db80fe516",4,"P13009-005","H1300901",,,,,,,,,,
"014de44f6ef44053a6742d1db80fe516",5,"P13009-006","H1300901",1,3,12,,4,16,98,3,2002,5
"014de44f6ef44053a6742d1db80fe516",6,"P13009-007","H1300901",2,3,12,,1,13,28,10,2004,5
"014de44f6ef44053a6742d1db80fe516",7,"P13009-008","H1300901",1,3,12,,1,11,9,2,2007,5
"014de44f6ef44053a6742d1db80fe516",8,"P13009-009","H1300901",2,3,12,,1,9,98,2,2009,
"014de44f6ef44053a6742d1db80fe516",9,"P13009-010","H1300901",1,3,12,,1,7,98,1,2011,
"014de44f6ef44053a6742d1db80fe516",10,"P13009-012","H1300901",1,3,12,,1,4,6,12,2013,
"014de44f6ef44053a6742d1db80fe516",11,,"H1300901",2,3,12,,1,2,21,4,2016,
"014de44f6ef44053a6742d1db80fe516",12,,"H1300901",1,4,12,,1,6,28,8,2012,
"014de44f6ef44053a6742d1db80fe516",13,,"H1300901",2,4,12,,1,3,1,2,2015,
"015b2f40827d4d70a5aa4ac958235a78",1,"P35503-001","H3550301",1,1,6,13,1,26,98,98,1992,3
"015b2f40827d4d70a5aa4ac958235a78",2,"P35503-004","H3550301",,,,,,,,,,
"0192be21a93d4c2d83997fb6dc1c3ea6",1,"P06007-001","H0600701",1,1,12,,1,48,10,5,1969,1
"0192be21a93d4c2d83997fb6dc1c3ea6",2,"P06007-002","H0600701",,,,,,,,,,
"0192be21a93d4c2d83997fb6dc1c3ea6",3,"P06007-003","H0600701",,,,,,,,,,
"0192be21a93d4c2d83997fb6dc1c3ea6",4,"P06007-004","H0600701",,,,,,,,,,
"0192be21a93d4c2d83997fb6dc1c3ea6",5,"P06007-009","H0600701",2,2,12,,1,20,98,12,1997,1
"0192be21a93d4c2d83997fb6dc1c3ea6",6,"P06007-010","H0600701",1,3,12,,1,3,24,6,2014,
"0192be21a93d4c2d83997fb6dc1c3ea6",7,,"H0600701",2,3,12,,1,0,28,7,2017,
"01946faa112841669f992ad1c026ddb6",1,,"83",1,1,12,,1,36,98,98,1983,1
"01c14a909dd54c2088fe1b32e84ae2ec",1,"P06708-002","H0670802",1,1,12,,1,28,30,10,1989,1
"01c14a909dd54c2088fe1b32e84ae2ec",2,,"H0670802",2,2,12,,1,26,98,98,1992,1
"01c14a909dd54c2088fe1b32e84ae2ec",3,,"H0670802",2,3,12,,1,6,16,12,2011,
"01c14a909dd54c2088fe1b32e84ae2ec",4,,"H0670802",2,3,12,,1,4,26,1,2014,
"01c14a909dd54c2088fe1b32e84ae2ec",5,,"H0670802",1,3,12,,1,1,2,12,2016,
"01c6b5639280472aa1dbfea2b7c10c24",1,"P29706-001","H2970601",2,1,12,,1,65,98,98,1953,4
"01c6b5639280472aa1dbfea2b7c10c24",2,"P29706-003","H2970601",2,3,12,,2,22,1,1,1996,5
"01c6b5639280472aa1dbfea2b7c10c24",3,"P29706-004","H2970601",,,,,,,,,,
"01c6b5639280472aa1dbfea2b7c10c24",4,"P29706-007","H2970601",1,4,12,,1,9,1,12,2008,
"01c6b5639280472aa1dbfea2b7c10c24",5,,"H2970601",2,4,12,,1,2,4,8,2015,
"01c6b5639280472aa1dbfea2b7c10c24",6,,"H2970601",1,4,12,,1,4,14,6,2014,
"01dfba97dd29447f9a82aef0f59237de",0,,"H1530901",,,,,,,,,,
"01dfba97dd29447f9a82aef0f59237de",1,,"H1530901",2,2,12,,1,51,98,9,1967,1
"01dfba97dd29447f9a82aef0f59237de",2,,"H1530901",1,3,8,12,2,25,98,2,1993,5
"01dfba97dd29447f9a82aef0f59237de",3,,"H1530901",2,3,12,,1,12,24,4,2006,5
"01dfba97dd29447f9a82aef0f59237de",4,,"H1530901",1,4,8,15,7,,,,,
"01dfba97dd29447f9a82aef0f59237de",5,,"H1530901",2,4,12,,2,7,98,98,2012,
"01dfba97dd29447f9a82aef0f59237de",6,,"H1530901",1,1,12,,1,60,98,3,1958,1
"01fc2a6821064f528ca01e20dbea8db2",1,,"H2090701",1,1,12,,1,60,98,98,1958,1
"01fc2a6821064f528ca01e20dbea8db2",2,,"H2090701",2,2,12,,1,50,12,9,1968,1
"01fc2a6821064f528ca01e20dbea8db2",3,,"H2090701",1,3,12,,1,23,12,12,1994,1
"01fc2a6821064f528ca01e20dbea8db2",4,,"H2090701",2,3,9,6,1,22,15,6,1996,3
"01fc2a6821064f528ca01e20dbea8db2",5,,"H2090701",1,3,12,,1,19,15,10,1998,5
"01fc2a6821064f528ca01e20dbea8db2",6,,"H2090701",1,3,12,,1,17,1,4,2001,5
"01fc2a6821064f528ca01e20dbea8db2",7,,"H2090701",2,3,12,,1,15,19,9,2003,5
"01fc2a6821064f528ca01e20dbea8db2",8,,"H2090701",1,3,12,,1,12,27,12,2005,5
"01fc2a6821064f528ca01e20dbea8db2",9,,"H2090701",1,3,12,,1,10,13,5,2008,5
"01fc2a6821064f528ca01e20dbea8db2",10,,"H2090701",1,4,6,6,1,1,26,2,2017,
"01fc2a6821064f528ca01e20dbea8db2",11,,"H2090701",1,4,12,,1,11,98,4,2007,5
"01fc2a6821064f528ca01e20dbea8db2",12,,"H2090701",2,4,12,,1,9,98,7,2009,
"01fc2a6821064f528ca01e20dbea8db2",13,,"H2090701",2,10,3,8,1,16,4,2,2002,1
"020fd884bebf40b0a97f2156b8eda1b6",1,"P14005-001","H1400501",2,1,12,,1,78,98,98,1940,4
"020fd884bebf40b0a97f2156b8eda1b6",2,"P14005-002","H1400501",1,4,12,,2,21,98,98,1997,5
"020fd884bebf40b0a97f2156b8eda1b6",3,"P14005-004","H1400501",1,4,12,,1,16,98,98,2002,5
"020fd884bebf40b0a97f2156b8eda1b6",4,"P14005-007","H1400501",,,,,,,,,,
"020fd884bebf40b0a97f2156b8eda1b6",5,,"H1400501",1,4,12,,3,22,6,3,1996,5
"021babeee5f646108cbe9bb3b2a4c485",1,,"H3770703",1,1,12,,1,31,5,10,1987,1
"021babeee5f646108cbe9bb3b2a4c485",2,,"H3770703",2,2,12,,1,24,25,11,1993,1
"021babeee5f646108cbe9bb3b2a4c485",3,,"H3770703",1,3,12,,1,3,10,10,2015,
"021babeee5f646108cbe9bb3b2a4c485",4,,"H3770703",2,3,7,1,1,0,28,12,2017,
"021babeee5f646108cbe9bb3b2a4c485",5,,"H3770703",2,6,6,13,1,18,98,2,2000,5
"02257a7aa9a94ca9b464e910e2bd642d",1,,"H4250801",2,2,12,,1,26,98,98,1992,1
"02257a7aa9a94ca9b464e910e2bd642d",2,,"H4250801",1,3,12,,1,13,98,98,2005,5
"02257a7aa9a94ca9b464e910e2bd642d",3,,"H4250801",1,3,12,,1,8,98,98,2010,
