"hhid","PID","t31","t32","t33","t34","t35","t36"
"35f31e253bb147cba3c1ba28825c2c38",9,2,,2,,2,
"361db5497c524c4fab8063f627314604",9,2,,2,,2,
"36350959a38d46159a938020fd413b28",8,2,,2,,2,
"36386237ed3b4607b384a88bbf8c5ad2",4,2,,2,,2,
"3656b29d648c4432b1c273546093da60",7,2,,1,2,2,
"365d8c351f3c45f282562a983ef70d6e",9,2,,2,,2,
"367e34a2fdf14986b45290581d0cb347",4,2,,98,,2,
"36908497431a4492a6666712b94073cf",9,1,2,1,2,2,
"36992f498601434baac9c51a693c27d8",4,2,,2,,2,
"36b1194afa2a46889b315a883249769f",5,2,,2,,2,
"36ba58f19ad54b59a05e45c5d094e134",10,2,,2,,2,
"36e81608b34e4e338d21b0a091c58690",7,2,,2,,2,
"36ec3db7c4504589923f5c7e151f56b2",11,1,1,1,1,2,
"36f41d8c2fee42f18787fc4ae9c8ff91",6,2,,2,,2,
"372c6c08f26647e4844a6fc84cf19cb7",4,1,2,2,,2,
"37b70f60adc947949a9b765afb45d71f",8,2,,2,,2,
"37c65147f7534277984447a500ea7c3c",4,2,,1,1,98,
"37cd7a15e3294dc29c63e8bb05955312",11,2,,2,,2,
"385c5482217b40a199727bec715a9e66",5,2,,2,,2,
"3887675cbba3418b9c062ad75bcea674",2,1,2,1,1,2,
"38984cec828a4de78f533ed47c29c79e",6,2,,2,,2,
"38c6499533984b3c8669e1caa56d0c3d",5,2,,2,,2,
"38e42260a4f9434191c9cd107ae83149",3,2,,2,,2,
"39e4ac0ffa65481e8e24d190c2c92667",4,2,,2,,2,
"39fcb45731cc41428ec88383475be20f",10,2,,2,,2,
"3a1c90799ac7460cb96e3c52b2c5182d",8,2,,2,,2,
"3ab0f18d796a424a9874e00ccb966251",7,1,1,1,1,2,
"3b010b3b5a0d46eb94cf1e56ff725850",8,2,,1,2,2,
"3b486c0be9c6474c803bbeb58aaa0a14",3,2,,1,2,2,
"3b58eb644c474aa89c1bcecc8d191a48",4,2,,2,,2,
"3b73ebe890704075a97c2d67ff10ff7f",8,2,,2,,2,
"3b742e0ce416464e80f71829661c95f3",5,2,,2,,2,
"3b86c6ba02e04e1fa750e77add3e1805",6,2,,1,1,2,
"3c264506125b425e8f086b6eab486bef",5,2,,2,,2,
"3c3e8547fb9c40a29d5cdc6f4101231e",3,2,,2,,2,
"3c909c155df640c8acca7d50725bb17e",6,2,,2,,2,
"3cd6b0fc0e4541dbba56c965c71a6997",10,2,,1,2,2,
"3cf3e5d4c6254c6d98d048ca83d040a6",6,2,,2,,2,
"3cf518201590493cb8adb71bb964e726",11,2,,2,,2,
"3d7b3d04a6cd40f7b00e34ef388034eb",10,2,,2,,2,
"3d934f9027c042ad8a18718ff3574514",3,2,,2,,2,
"3dd19e9d91eb4d9dbbc12fe2148b7d34",10,2,,2,,2,
"3dee9621078242e39cec158e9b729ee2",4,2,,2,,2,
"3df762b88c104fceac94e41661800423",4,2,,2,,2,
"3e0a5363f85f49cc9414cc3ac3b5ade6",8,2,,2,,2,
"3e3d33563d904daf905accfd002fc873",5,2,,2,,2,
"3e585de4d95e4b06be8f7a11274483c3",3,2,,2,,2,
"3e7e8b3de8784bb9b765f4c7752b6ded",8,2,,1,2,2,
"3ecc6f91ef294895a806e2ad0ad4a979",5,2,,2,,2,
"3ee43e751a664d1abe9b26f5977c9a34",5,2,,2,,2,
"3f1fed9c23804aec908748de089f1c93",5,2,,2,,2,
"3f36b6cbcf534a88b49d9f3845f65470",7,2,,2,,2,
"3f384e917296408b86fee68273bde344",6,2,,1,2,2,
"3f3fedf25b3d4a7899d9bffe6fb1f658",10,2,,1,2,2,
"3f4cde7098b24b28bd69c492fed9aef7",4,2,,2,,2,
"3f6bbcf02a1149a484cc0f0f663c54db",10,2,,2,,2,
"3f97a754408042aeb8b865986938af70",9,2,,2,,2,
"3fd41609787344f0801c2918325cd45c",11,1,2,2,,2,
"404f42d0f05b4d0e8df57aa28868b6d7",7,2,,2,,2,
"40665c26f6a74711bca1c113a79fabea",16,2,,2,,2,
"4089726857c84e979597dd32f3dcaea8",3,2,,2,,2,
"408cad43f46a45e09591e83bfc6e3ac7",4,1,1,1,1,2,
"40a59212572e4dbf924c2e6d751031bd",6,2,,1,2,2,
"40a59bc3945747cfa11872b03e97172b",9,1,2,1,2,1,1
"40bd45903364468c931cc28af39f5064",7,2,,1,2,2,
"40e0a8ec2b5344ee912851ae86bd5171",4,2,,2,,2,
"41161a7161a7457b84a221d17c13782c",4,1,2,2,,2,
"414d6d0e3b5a490589667ffd66ffadbc",7,2,,1,2,2,
"41776ecb3d984cebb3c7fceb67431a24",6,2,,2,,2,
"41a0d7ea37784a2fa40f381785b4df50",12,2,,2,,2,
"41de39edb2fd4bba8a75e66478b9c738",9,1,1,1,1,1,2
"423c8841560f462f8234f263318702d7",7,2,,2,,2,
"42549bd20c7345fcaa241afa7dedb364",7,2,,2,,2,
"4296df183a47497c87af586bcedc3a7c",8,2,,1,1,2,
"42c89a0c06dc406daf794cef54865d89",9,2,,1,1,2,
"42d44dcaaccb4d19b16292b8410195d2",7,2,,2,,2,
"42d4c1e7b7984e4790ee7ddae6727a71",6,2,,2,,2,
"42d7b53e230f44fab274e33797a03a40",7,2,,2,,2,
"42f4799429c6490ebbcd277e13fa744d",6,2,,2,,2,
"4310f37c41cc4282b40ed4de953b8451",3,2,,2,,2,
"431957a3478248aeb6c4637eda5a1ad4",9,2,,2,,2,
"435113f93aec4ce4b5ba918abadcbc60",9,2,,2,,2,
"435987dbfde14869be5af088f849bbd4",8,2,,2,,2,
"43676e7af3a347c390eb7bc294784dfd",6,2,,2,,2,
"43740d64efea4f6f9aae6d98804d35f7",6,2,,2,,2,
"439470905bc046a3b4ca092ebbb281fc",4,2,,1,1,2,
"43b0e1943e7a4c18878c5d16734359f2",7,2,,1,2,2,
"43bac0bfd7ee426194c740ee447ad4d0",4,1,1,1,2,2,
"440dd7875bc345c7b08b421faa512592",7,2,,1,2,2,
"4431b77d140142969216b6a63dc40667",9,2,,2,,2,
"44b53ab146424f6b98d26c6bbd52929d",5,2,,2,,2,
"44b7eb6679d04f2192783b1c29b05033",3,2,,2,,2,
"44dc722eea4c4971b24d48f882778e2f",6,2,,2,,2,
"44e140bfecf240d5acc7f78e73bf14b6",11,2,,2,,2,
"44e8f4eb325049aa8b3ea8788522b070",4,2,,2,,2,
"450a4c5b59ca4a10be8d5605481f2625",3,2,,2,,2,
"451328a22e46469495762214d4b1df10",15,2,,2,,2,
"454d5c38a5cb4edd82cc8ef5f96e8f12",11,2,,2,,2,
"45a0434b69474911a08aca50e95480e4",3,2,,2,,2,
