"hhid","PID","t2a_ta","t2a_tb","t2a_tc","t2a_td","t2a_te","t2a_tf","t2a_tg","t2a_th","t2a_ti","t2a_tj","t2a_tk","t2a_tl","t2a_tm","t2a_tm1","t2a_tn","t2a_to","t2a_tp","t2a_tq","t2a_tr","t2a_ts","t2a_tt","t3"
"51dccf3bbb3740c1962c5d34f32f5dcd",8,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"52cbe6a1b6b8481cabe9c7d5fe14f626",7,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,7
"532dd7454bd147a992bb9f40808ff7c6",5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7
"55e256a234e141cea64051f860072767",8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2
"5617b8c8b9b64ab98375b724978b8ff9",4,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2
"561b22f3db874c2d9200f5fc5fcd8815",10,1,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,4
"56ce385d39df4a0590ca4243ad2fcc2b",5,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,4
"5721ad458afe436a97e71438fe24fe1c",9,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,1,1,2,4
"57715583020e4b8393c3eebd059edaa9",4,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
"57bffaba1b7e46f58b60fa9c0948e0fb",7,1,,,1,,,,,,,,2,,,,,,,,1,1,2
"58cb595bf02345819cd8406fd6a9c412",7,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"592e3150e433437594322098f18b75d5",9,2,2,1,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2
"5a191f4feef04101bfcf7185113a4d4c",5,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3
"5a5c898bf25745f9bcf8c21878a8bcdc",6,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,4
"5aa4d09b72144eb38f307e1a32cb0a5c",9,1,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,4
"5b0fb03d51ff459b89d840951df391ed",5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"5c2df8052842466296ebba2560caa630",4,1,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
"5c31310adc624e8aad19c482482fd754",4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
"5c4fe1d960a74d80ad0c9ed7a61a7151",3,2,2,1,2,2,2,2,1,1,2,1,2,1,2,2,2,2,2,2,1,1,2
