"hhid","s17q01","s17q02","s17q03","s17q04","s17q05","s17q06","s17q07","s17q08","s17q09","s17q10A","s17q10B","s17q10C","s17q10D","s17q10E","s17q10F","s17q10G","s17q10H","s17q10I","s17q10J","s17q10K","s17q10L","s17q11A","s17q11B","s17q11C","s17q11D","s17q11E","s17q11F","s17q11G","s17q11H","s17q11I","s17q11J","s17q11K","s17q11L","s17q11M","s17q11X"
"0a10dc04657a4e418e9ef68e0039d141",1,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0a1d569220474ae5a850ea9ffecd7397",1,1,3,2,2,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0a33bbb4716e43918e2dcb131f616aff",2,1,1,1,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0a7ad005a1834427a7cf9fd9bad27bbc",1,1,3,1,3,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0aa32d2b402845b9acdd93f36a957e2a",2,1,3,1,2,2,,,1,,,,,,,,,,1,1,1,,,,1,1,,1,,,,,,,
"0aa52ee740e54bc18a97dea9206c4dfb",1,1,1,1,2,2,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0aa8447688704ee98df9240ef335054a",2,1,1,1,3,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0aaa3c3864af4ed5976f59eea475f982",1,1,2,1,3,2,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0ab0754b5398494b863f05891f237892",2,1,2,1,3,1,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0ab702b9c7c04f3786e3af7ff5949cc1",1,1,1,1,3,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0acc53ebc8a949bf941e1a2caf689d21",1,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0af10a2d6b914d418b2b5b671d12d653",1,1,2,2,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0b3b982602d04173ad3b1e70959cbfd3",1,1,2,1,3,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0b579d265ed34359a56af2f15ae4d081",2,1,1,1,2,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0b5d1c5449044517bcce04bac511725e",1,1,2,2,3,1,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0b5f5af0b2464b878ac5c214e294cf3b",1,1,2,2,2,1,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0b95a1e8ac1f432da2425f0e135e45c0",2,1,1,1,3,2,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0ba00f819c6a456f90b6b9ddca903379",1,1,2,2,2,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0ba4bc0924e449f6b395dae115acc723",1,1,3,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0babe31ce3494a9691168727050eb752",2,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0bc5ec21008a47488be5243e01553a26",2,1,2,1,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0bcc7f6fcdc64e7f925c80713a7d5db4",1,1,1,2,3,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0c0509871b5f4941aac4d7f09d0451bf",1,1,3,1,2,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0c22a7dbc0cb4cbea89c01a94b82c7e1",4,1,2,1,2,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0c4001e96413427da9ec508f97d215bc",4,1,2,1,2,2,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0c496dcf23954cbba6f1ab6830c998fb",1,2,1,1,3,2,,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0c4a4cf0e7ea4067b33aaa955c36715f",2,1,2,2,3,1,11,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0c6412b6bb304caab71edeea852ef471",1,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0c818a61c1164978a7d822e925de9e03",3,1,2,1,3,1,7,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0ca9880b3e5a43ee9ec44c9863b2f236",1,1,2,1,3,2,8,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0cac75ed84684d18b700549a520c0f1f",3,1,2,2,3,1,6,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0cceefffc29f4817b783a8cd577393d7",4,1,1,1,3,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0cd035c06c3647fab7f198d760f73e98",1,1,3,1,3,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0cf5ba3c4a7e4b379ed786599920157c",2,1,1,1,3,1,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0cfefdeb042a4b39af8af9a6a53cadba",1,1,1,1,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0d1155056d5a49f592537fdeea3284d3",1,1,2,1,2,2,3,11,1,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,
"0d1423b6187b4666aab92778cd5e4050",1,1,2,1,3,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0d55f17a96e74a6b94c6e7657face67b",1,1,2,2,2,2,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0d7289cae2764986bbda9ba03d3c2b5f",7,2,1,2,2,2,2,2,1,1,1,1,1,,,,,,,,,1,,,,,,,,,,,,,
"0d86f0684d594491a7ed8c12b10742b4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0d9558a39d474ff2a54320421d890599",1,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0d96829af10f433a9c1c6a7ecea7f9f5",1,1,3,1,3,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0d9810cde32d470bbcea579035125672",2,2,2,2,2,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0dac56419262429c8f0ca39b7a7c55fc",1,1,3,1,3,2,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0dcf445c997649629cfe96bdbe03d028",11,2,2,1,2,1,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0df40545b17a4ed5942118afbcd884a6",1,1,2,1,3,2,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0df87c6cba494e029a4a6e846462b4e8",1,1,2,1,2,2,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0df97c022ab34484ba98c8f65f2ada36",2,1,2,2,2,2,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0e0d592eae8546e29fa5672ad599d418",6,1,2,1,3,2,5,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0e102ce9336c4724a1e17db925d74f0d",2,1,2,1,2,2,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0e3cce40118845f3b1d19bf598b412c7",3,1,2,1,2,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0e49f87a31fa443584ec7df8acca506e",1,1,1,1,2,2,1,1,1,,,,,,,,1,,,,,1,,,1,,1,,,,,,,,
"0e849b1e76e7470b972a4130b79ee9aa",1,1,3,1,4,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0eb4081fc0ce4fb587566bae32097f9f",1,1,1,1,3,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0ef621acc60143a99dd39acdf4e1fdc6",1,1,2,2,3,1,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0effe952b7be4f59ad5382bc3643699f",1,2,1,1,2,2,4,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,
"0f0b2f51e6444b9eae2db618e9c8c086",1,1,2,1,3,2,9,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0f0c9b09e6d6402d96c23f7c3fd90b1d",1,1,2,2,2,2,,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0f120ff4c01e4c2bacbc7c513fbb1d9f",2,2,2,2,3,2,9,9,1,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,
"0f50e94a1c4846ed9fbbb1db8394476f",1,1,2,2,2,3,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0f639994baa54fcebe4d20937458bd29",1,1,1,1,2,5,96,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
"0f799e7ce9224d0aae0da65f6c9f0860",2,1,2,2,2,2,12,11,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,
