"hhid","s12q02","NA1a","NA1b","NA1c","NA1d","NA1e","NA1f","NA1g","NA1h"
"2e54cfca53094a08aedf362218eb519a",2,2,2,2,2,2,2,2,2
"2e85c0dd8b9949aa815111dfbe52d2af",1,2,2,2,2,2,2,2,2
"2eb55270221e45f089be88207c3f3140",1,2,2,2,2,2,2,2,2
"2eb976486cfa4f4b992d87c52227a2d3",2,2,2,2,2,2,2,2,2
"2ec765c0b7cb43888fd93a18a79252dc",1,2,2,2,2,2,2,2,2
"2f1a139a0e0646bc871ff544012d7080",2,2,2,2,2,2,2,2,2
"2f1a7d2120d64757a214842e7a29b673",1,2,2,2,2,2,2,2,2
"2f313a424fac4adebf05f435da72c34b",4,2,2,2,2,2,2,2,2
"2f3a098e58ac41a8b58f0fea74822b1d",2,2,2,2,2,2,2,2,2
"2f505303b957477282e31e4c430c7c6d",6,2,2,2,2,2,2,2,2
"2f86a692897145e79d040edb9392e798",1,2,2,2,2,2,2,2,2
"2fa2585dfe264e83977557540e1a9787",1,2,2,2,2,2,2,2,2
"3042131caccc4771a12bda52c059e81c",4,2,2,2,2,2,2,2,2
"3073111fdc9f45b98627887d8c05519e",1,2,2,2,2,2,2,2,2
"3081c63384054a30a8a0c91aa76bc95c",2,2,2,2,2,2,2,2,2
"30943541f74e40a886d71d1405dcd193",1,2,2,2,2,2,2,2,2
"309a68a1a2c04e2c95fbb5342b4b28ef",2,2,2,2,2,2,2,2,2
"30c1e400c0c0409ea8d74e2832eeeaf9",1,2,2,2,2,2,2,2,2
"30c8347ecb774823a55230e9adddb16b",2,2,2,2,2,2,2,2,2
"30d225662f9e41d0881be2ede80c5874",2,2,2,2,2,2,2,2,2
"30d7a950af634d458b44fd5d5eb1e2a9",2,2,2,2,2,2,2,2,2
"30e5e2170d65446aa2c2b3c73746527a",1,2,2,2,2,2,2,2,2
"3125d7938c8a4df099a04c983c4ea29b",1,2,2,2,2,2,2,2,2
"31d7468554bd42e2b42353d2a12fd69e",3,2,2,2,2,2,2,2,2
"31dfcc57039b4ac2a94a8baa379d1386",1,2,2,2,2,2,2,2,2
"31e37fcc07a4475bbdd01ea298245c51",1,2,2,2,2,2,2,2,2
"31fa83987d9a417c88f912a27ead6a77",1,2,2,2,2,2,2,2,2
"32007359bef14db0907c3dfd41a7b264",4,2,2,2,2,2,2,2,2
"3246e8bb3b3b47b689fb53cd88c2a34b",1,2,2,2,2,2,2,2,2
"32821b223bf54700b647896533ee9104",2,2,2,2,2,2,2,2,2
"33041c2eb26d4885a96730bd4d1d5de7",1,2,2,2,2,2,2,2,2
"332c00b7723640bcbd3b0df2af03f4fa",1,2,2,2,2,2,2,2,2
