"EA_code","t0_EA_code","interview__key","s2cq15","s2cq16","s2cq17","s2cq17_oth","s2cq18","s2cq20","s2cq20_oth","s2cq19a","s2cq19b","s2cq19c","s2cq19c_oth","s2cq21","s2cq22","s2cq25","s2cq25_oth"
"7d81ff7c7b1f45f682a2f778de1129d3",,"65-64-33-71",1,2,,,1,1,,"15000","2000",1,,"15000",1,,
"7dfe77c10a6d423da8b1fe1af366ff1a","1131131304","97-27-45-82",2,2,,,1,1,,"200","1",2,,"20000",2,,
"7e25926b2a7440e69f203158d6092c89",,"55-30-97-28",2,2,,,2,,,,,,,,,1,
"811f0969148848799fdeb81412c961b7","4053010109","75-75-86-64",2,2,,,1,1,,"20000","LITERS",6,"PAYMENTS ARE MADE DEPENDING ON THE USAGE SINCE MOST HOUSEHOLDS HAVE WATER PIPED INTO THEIR HOMES","20000",2,,
"819574132d744fb58ef76356982dab3e","4281111105","97-06-48-22",2,2,,,2,,,,,,,,,5,
"819dc7fb58f3487c92ce386410f0e484","2251141426","72-95-56-08",1,2,,,2,,,,,,,,,3,
"8240331915e74700903cd16936938273","1021030304","87-78-16-27",2,2,,,1,1,,"100","1",2,,"9000",1,,
"856d1989c4994c0bb213bd69b1cc4e28","4171090902","07-11-57-90",2,2,,,2,,,,,,,,,,
"87888fff4c0c45d49f76bf7f930652a3","1021030344","88-86-92-84",1,2,,,1,1,,"200","1",2,,"30000",1,7,
"82a63311f1c84741bfd4b8e903e89fa4",,"16-96-21-37",2,2,,,1,1,,"300","1",2,,"30000",2,,
"85d0e9e0a4f1496aaf118e34270048e6","1072020201","47-45-18-73",2,2,,,2,,,,,,,,,4,
"86105861a94a405a9af8478fdf715f04","1136040402","80-98-40-63",,,,,,,,,,,,,,,
"8873c7ea649641a9aa484ff5a2071ce5","2121040406","68-41-72-67",2,2,,,2,,,,,,,,,1,
"8513e8bd23c14fd198c0e28c57e978fb","3301070701","95-91-78-39",1,2,,,1,1,,"1000","1",2,,"20000",1,,
"8a796de4a4744d1896966983749b62ce","4201070703","35-92-49-53",2,2,,,2,,,,,,,,,,
