"interview__key","EA_code","class_id","s3q53","s3q54","s3q55a","s3q55b","s3q56","s3q57","s3q58","s3q59","s3q60","s3q61","s3q62","s3q63","s3q64","s3q65","s3q66","s3q53_v2","s3q54_v2","s3q55a_v2","s3q55b_v2","s3q56_v2","s3q57_v2","s3q58_v2","s3q59_v2","s3q60_v2","s3q60_oth_v2","s3q61_v2","s3q61_oth_v2","s3q62_v2","s3q63_v2","s3q64_v2","s3q65_v2","s3q66_v2"
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13-39-91-73","166579dc0f4d4f19bdc2c8e6c2e31a0f",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",5,1,1,40,62,1,3,,,,,,,,,,,,41,62,,,,,,,,,,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",6,1,2,25,31,1,3,,,,,,,,,,,,25,31,,,,,,,,,,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",0,2,1,104,108,2,2,,,,,,,,,,,,104,111,,,,,,,,,,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",4,1,2,49,56,1,3,,,,,,,,,,,,49,58,,,,,,,,,,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",1,2,1,29,41,2,2,,,,,,,,,,,,31,44,,,,,,,,,,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",2,1,2,49,46,2,1,,,,,,,,,,,,49,46,,,,,,,,,,,,,
"61-27-08-63","168d74660fc04a2792cb437eedcec5e1",3,2,2,78,35,1,2,,,,,,,,,,,,78,35,,,,,,,,,,,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",1,2,2,55,59,2,3,1,,,,1,69,5,3,1,,,55,59,,,,,,,,,,,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",3,1,1,48,49,1,3,1,,,,1,84,3,2,1,,,48,49,,,,,,,,,,,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",0,2,2,82,69,2,3,1,,,,1,76,5,4,1,,,82,69,,,,,,,,,,,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",2,1,2,51,51,2,2,1,,,,1,63,3,2,1,,,51,51,,,,,,,,,,,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",4,1,2,48,52,1,3,1,,,,1,58,3,2,1,,,48,52,,,,,,,,,,,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",6,1,2,21,20,1,3,1,,,,1,27,2,1,1,,,21,20,,,,,,,,,,,,,
"05-10-89-43","16c6c976a02c414f8e01d02dddc97a5d",5,1,2,46,52,1,3,1,,,,1,74,2,1,1,,,46,52,,,,,,,,,,,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",3,2,2,18,24,1,4,1,,,,1,43,1,1,1,,,,,,,,,,,,,,,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",4,2,2,18,27,1,4,1,,,,1,42,1,1,1,,,,,,,,,,,,,,,,,
"77-05-32-40","1816825774944a8fa45dde05fc0e79dc",5,1,2,17,29,1,4,1,,,,1,44,1,1,1,,,,,,,,,,,,,,,,,
