"interview__key","EA_code","community_needs_id","s6dq1","s6dq2","s6qd3","s6dqd4","s6dq5","s6dq6","s6dq7","s6dq08a","s6dq08b","s6dq08c","s6dq09","s6dq10","s6dq11","s6dq12a","s6dq12b","s6dq12c","s6dq13","s6dq14","s6dq15","s6dq16","s6dq17a","s6dq17b","s6dq17c","s6dq17_oth0"
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",108,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",105,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",107,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",102,2,2,2,1,,,,,,,,1,2016,103,,,,0,,2,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",101,2,2,2,1,,,,,,,,1,2017,104,103,,,0,,2,,,,
"16-77-56-74","155c5c1261c04747be7944ce3daa6ac2",103,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",107,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",102,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",104,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",109,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",103,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",108,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",105,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",111,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",101,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",106,,,,,,,,,,,,,,,,,,,,,,,,
"70-23-73-82","15cebd17f95047b3b242caab688fc2a0",110,,,,,,,,,,,,,,,,,,,,,,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",105,1,1,1,,1,4,2,106,,,2,4,,,,,,,,,,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",110,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",109,2,2,2,2,,,,,,,,,,,,,,,,,,,,
"48-96-08-15","15e14a2aedca4f1dad88f6a30e6d8a2c",102,1,1,1,,1,96,1,106,,,1,1,2014,104,,,0,0,,1,1,0,0,0
