"EA_code","t0_EA_code","interview__key","schoolmeeting_id","s3q39a","s3q38","s3q39b","s3q40","s3q41"
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",5,3,1,2018,,6
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",4,2,1,2018,,6
"21e9da8b1950402aa3169598c2efeb4e","4062010103","25-50-00-53",2,2,1,2018,1,4
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",3,8,1,2018,1,3
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",4,9,1,2018,,3
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",5,9,1,2018,,2
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",2,8,1,2018,1,3
"228bcac6d0b147dbaebbc943965f78c1","2241050511","90-21-50-09",1,8,1,2018,1,2
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",1,9,1,2018,1,6
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",3,10,1,2018,1,3
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",4,,2,,,
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",5,11,1,2018,,1
"237d3bd58d47443f984a1146cfb17596","3111030302","76-53-22-95",2,10,1,2018,1,3
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",3,3,1,2018,1,3
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",1,2,1,2018,1,96
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",4,,1,,,
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",2,4,1,2018,1,3
"2625ab72d0ca4e74bcc7a51eefc3c049","3062010101","71-53-71-15",5,3,1,2018,,96
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",2,2,1,2018,1,3
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",5,3,1,2018,,6
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",3,2,1,2018,1,3
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",1,2,1,2018,1,2
"29d53afc2900441fa7931d2da4f6ab7e","4062101006","01-86-81-64",4,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",5,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",3,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",2,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",1,,,,,
"29fdcdf88e2e444f9fbb7d235214e8e1","4051040405","55-22-88-49",4,,,,,
"2b9fe8ab9b854dc1a78be4554e2db70f","2261050510","10-91-96-82",4,3,1,2018,,3
