"EA_code","t0_EA_code","interview__key","community_groups_id","s6bq01","s6bq02","s6bq03","s6bq04","s6bq05"
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",301,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",304,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",306,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",312,2,,,,
"166579dc0f4d4f19bdc2c8e6c2e31a0f","4033010102","13-39-91-73",308,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",301,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",310,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",313,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",304,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",303,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",306,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",308,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",307,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",312,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",305,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",302,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",311,2,,,,
"168d74660fc04a2792cb437eedcec5e1","1051050501","61-27-08-63",309,2,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",307,1,1,2015,2,40
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",309,1,2,2016,1,0
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",312,1,1,2017,3,8
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",308,2,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",303,2,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",305,2,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",313,2,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",311,2,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",302,2,,,,
"16c6c976a02c414f8e01d02dddc97a5d","2322030305","05-10-89-43",310,2,,,,
