"EA_code","t0_EA_code","initiative_id","interview__key","s3mq1","s3mq2"
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",7,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",8,"97-89-02-98",1,1
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",9,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",10,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",11,"97-89-02-98",1,2
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",12,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",13,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",14,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",15,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",16,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",17,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",18,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",19,"97-89-02-98",2,
"13a34d9690b54ab7b9eee7d1ddafbe9f","3023030305",20,"97-89-02-98",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",1,"75-98-78-48",1,1
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",2,"75-98-78-48",1,2
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",3,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",4,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",5,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",6,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",7,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",8,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",9,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",10,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",11,"75-98-78-48",1,3
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",12,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",13,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",14,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",15,"75-98-78-48",2,
"13f4006f120f4c3b800e7ccaedd4aee4","1133030301",16,"75-98-78-48",2,
